name,lat,lon,continent
Wallis and Futuna,-13.768752,-177.156097,Oceania
Samoa,-13.759029,-172.104629,Oceania
Yemen,15.552727,48.516388,Asia
Mayotte,-12.8275,45.166244,Africa
South Africa,-30.559482,22.937506,Africa
Zambia,-13.133897,27.849332,Africa
Zimbabwe,-19.015438,29.154857,Africa
Alabama,32.806671,-86.791130,North America
Alaska,61.370716,-149.493686,North America
Arizona,33.729759,-111.431221,North America
Arkansas,34.969704,-92.373123,North America
California,36.116203,-119.681564,North America
Colorado,39.059811,-105.311104,North America
Connecticut,41.597782,-72.755371,North America
Delaware,39.318523,-75.507141,North America
Florida,27.766279,-81.686783,North America
Georgia,33.040619,-83.643074,North America
Hawaii,21.094318,-157.498337,North America
Idaho,44.299782,-114.742040,North America
Illinois,40.298904,-88.539091,North America
Indiana,36.378114,-86.669968,North America
Iowa,63.126428,-91.195419,North America
Kansas,38.526600,-96.726486,North America
Kentucky,37.668140,-84.670067,North America
Louisiana,31.169546,-91.867805,North America
Maine,44.693947,-69.381927,North America
Maryland,39.063946,-76.802101,North America
Massachusetts,42.230171,-71.530106,North America
Michigan,42.141015,-84.620213,North America
Minnesota,46.125330,-94.571220,North America
Mississippi,31.030927,-89.113716,North America
Missouri,36.116203,-89.971311,North America
Montana,46.116032,-112.870000,North America
Nebraska,41.125370,-98.268082,North America
Nevada,38.313515,-117.055374,North America
New Hampshire,43.452492,-71.563896,North America
New Jersey,40.298904,-74.521011,North America
New Mexico,34.840515,-106.248482,North America
New York,40.712776,-74.005974,North America
North Carolina,35.630066,-79.806419,North America
North Dakota,47.528912,-99.784012,North America
Ohio,40.388783,-82.764915,North America
Oklahoma,35.565342,-96.928917,North America
Oregon,43.804133,-120.554201,North America
Pennsylvania,40.551217,-77.194524,North America
Rhode Island,41.680893,-71.511780,North America
South Carolina,33.856892,-80.945007,North America
South Dakota,44.299782,-99.438828,North America
Tennessee,35.747845,-86.692345,North America
Texas,31.054487,-97.563461,North America
Utah,40.150032,-111.862434,North America
Vermont,44.045876,-72.710686,North America
Virginia,37.769337,-78.169968,North America
Washington,47.400902,-121.490494,North America
West Virginia,38.491226,-80.954522,North America
Wisconsin,43.784440,-88.787868,North America
Wyoming,42.075066,-107.290283,North America
Adygea,44.409652,40.151100,Europe
Altai Krai,53.290247,81.303292,Asia
Altai Republic,51.692292,85.830590,Asia
Amur Oblast,51.494786,127.533010,Asia
Arkhangelsk Oblast,61.524010,40.532255,Europe
Astrakhan Oblast,46.342134,48.035754,Europe
Bashkortostan,54.296734,55.965026,Asia
Belgorod Oblast,50.585156,36.587642,Europe
Buryatia,51.715357,107.565224,Asia
Chechen Republic,43.317194,46.242473,Europe
Chelyabinsk Oblast,55.154902,61.535024,Asia
Chukchi Autonomous Okrug,66.335271,169.230014,Asia
Chuvash Republic,56.134286,47.249219,Europe
Dagestan,42.140174,47.369392,Europe
Ingushetia,43.387157,44.712087,Europe
Irkutsk Oblast,52.803800,103.947051,Asia
Jewish Autonomous Oblast,48.480206,132.935968,Asia
Kabardino-Balkaria,43.593818,43.588298,Europe
Kaliningrad Oblast,54.710420,20.493270,Europe
Kalmykia,46.141200,44.560446,Europe
Kamchatka Krai,55.000000,158.000000,Asia
Kemerovo Oblast,54.532661,86.073671,Asia
Khabarovsk Krai,48.000000,135.000000,Asia
Kirov Oblast,58.596578,49.668164,Europe
Komi Republic,61.668211,50.802907,Europe
Kostroma Oblast,57.728478,40.975100,Europe
Krasnodar Krai,44.731000,38.291050,Europe
Krasnoyarsk Krai,56.021334,93.307256,Asia
Kurgan Oblast,55.472070,65.305089,Asia
Kursk Oblast,51.742790,36.187746,Europe
Leningrad Oblast,59.000000,30.000000,Europe
Lipetsk Oblast,52.939485,39.536119,Europe
Magadan Oblast,59.538658,150.804420,Asia
Mari El Republic,56.630801,47.890340,Europe
Mordovia,54.181776,45.210671,Europe
Moscow,55.755825,37.617298,Europe
Moscow Oblast,55.512217,37.615360,Europe
Murmansk Oblast,68.958522,33.081111,Europe
Nenets Autonomous Okrug,67.808380,53.327271,Europe
Nizhny Novgorod Oblast,56.296503,43.936220,Europe
North Ossetia-Alania,42.917346,44.740996,Europe
Novgorod Oblast,58.522818,31.277209,Europe
Novosibirsk Oblast,55.008352,82.935734,Asia
Omsk Oblast,54.992440,73.368578,Asia
Orenburg Oblast,51.768239,53.147125,Asia
Oryol Oblast,52.967910,36.069808,Europe
Penza Oblast,53.017509,45.005065,Europe
Perm Krai,58.010759,56.250428,Europe
Primorsky Krai,43.500000,133.000000,Asia
Pskov Oblast,57.820150,28.332274,Europe
Rostov Oblast,47.232313,39.713847,Europe
Ryazan Oblast,54.601515,39.105991,Europe
Sakha Republic (Yakutia),62.000000,129.000000,Asia
Sakhalin Oblast,46.960077,142.731431,Asia
Samara Oblast,53.200251,50.159235,Europe
Saratov Oblast,51.580300,46.014280,Europe
Smolensk Oblast,54.776438,32.039847,Europe
Stavropol Krai,45.044048,41.902717,Europe
Sverdlovsk Oblast,56.851900,60.612200,Asia
Tatarstan,55.793101,52.547004,Europe
Tomsk Oblast,56.500000,85.000000,Asia
Tula Oblast,53.200394,37.616874,Europe
Tver Oblast,56.859554,35.910845,Europe
Tyumen Oblast,57.153295,65.534879,Asia
Udmurt Republic,56.858041,53.211206,Europe
Ulyanovsk Oblast,54.317802,48.402802,Europe
Vladimir Oblast,56.132289,40.391831,Europe
Volgograd Oblast,48.708038,44.513185,Europe
Vologda Oblast,59.000000,40.000000,Europe
Voronezh Oblast,51.663591,39.186260,Europe
Yamalo-Nenets Autonomous Okrug,66.045000,66.287500,Asia
Yaroslavl Oblast,57.626548,39.877574,Europe
